gpu_name,gpu_uuid,elapsed_seconds,nvidia_timestamp,gpu_clock_mhz,memory_clock_mhz,temperature_c,power_w,gpu_utilization_percent,memory_used_mb,throughput_tflops
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,684.09,2026/09/22 09:36:49.212,1537,7001,72,79.65,99,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,689.16,2026/09/22 09:36:54.260,1530,7001,72,79.71,97,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,694.2,2026/09/22 09:36:59.324,1537,7001,72,79.74,98,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,699.27,2026/09/22 09:37:04.372,1530,7001,72,79.94,98,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,704.31,2026/09/22 09:37:09.421,1545,7001,72,79.81,98,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,709.36,2026/09/22 09:37:14.473,1560,7001,72,80.07,98,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,714.42,2026/09/22 09:37:19.538,1545,7001,72,79.91,98,263,21.9078
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,719.48,2026/09/22 09:37:24.590,1537,7001,72,79.72,99,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,724.55,2026/09/22 09:37:29.657,1545,7001,72,79.71,98,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,729.59,2026/09/22 09:37:34.716,1537,7001,72,79.79,98,263,21.8528
